channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
192,205,56,0.7286537671675767,-1,-1,0.70096221344775,0.7093178764915984,0.7578415544058057,0.7652013640903852,0.7607897041616514,0.8223266244193355
193,206,171,0.7293117956568034,-1,-1,0.7020454481397252,0.7047056464206674,0.7497670430406921,0.7675053695422513,0.7564594929442142,0.8103267150661121
194,207,172,0.728600916290824,-1,-1,0.7014927766235963,0.7017359278860438,0.7471456654565867,0.7696829723395996,0.7548319247778049,0.8042103862433042
195,208,173,0.7287696696770568,-1,-1,0.702071876942045,0.7006183446389497,0.7471032909182591,0.7720519499388305,0.7550139896974677,0.8014518012079047
196,209,174,0.7303682861077231,-1,-1,0.7042576520327097,0.7005131881105296,0.7448022629919466,0.7745416343488217,0.7553199764992113,0.7974671199627821
197,210,175,0.7323612540499147,-1,-1,0.7066126692778512,0.7006284850928243,0.7440773420725577,0.777921648490898,0.7565480916562792,0.7944570368985623
198,211,176,0.7354442487550995,-1,-1,0.7099894555094376,0.7018970735404135,0.7436634785091275,0.7819966948587104,0.7586682035846881,0.7919007329302128
199,212,177,0.7390255489017853,-1,-1,0.7135637549048319,0.7031640506427365,0.742325540085916,0.7859515148262202,0.7608710908573695,0.7888651457795767
200,213,178,0.7453586869709711,-1,-1,0.7201617838683281,0.7060619314487578,0.7435067208737954,0.7927593680793417,0.7651974793969925,0.7853877271458064
201,214,179,5.1251480523648585e-43,-1,-1,6.989256052322092e-15,4.559960559348848e-21,1.8703749651674365e-92,1.2232410039690827e-162,7.77234663700491e-216,2.885012281059355e-27
202,215,223,0.9597708823709367,-1,-1,0.9547593042206635,0.9511332552136648,0.9591287255127667,0.9669450719238848,0.9602297605043837,0.9529334810217941
203,216,181,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
204,217,72,0.39189310918210746,-1,-1,0.3898487998163643,0.3628385987958438,0.3962099162555883,0.4275879297450758,0.3724982661227865,0.39019765844120585
205,218,182,0.4317427295941557,-1,-1,0.4271924990351646,0.4045404445840943,0.42569850689398825,0.4678613072886379,0.41111465572323075,0.42197257179464565
206,219,183,0.4562751879288513,-1,-1,0.4517146793894457,0.4318740505892973,0.4446986732740626,0.482499419161201,0.4306261271278646,0.4457816436174748
